country,gdp_per_capita
Argentina,14140.3134564
Australia,65800.7927806
Austria,50228.6853524
Belgium,46719.4872251
Brazil,11026.5487595
United Kingdom,41782.3604655
Canada,51205.2920731
Chile,15394.8683772
China,6757.56910926
Colombia,7894.68193862
Costa Rica,10391.787136
Czech Republic,19844.1360958
Denmark,59388.2602546
Egypt,3099.43253037
Estonia,18920.9726444
Finland,48848.6842105
France,42471.0190986
Germany,46176.7946226
Greece,22032.2023106
Hong Kong,37871.4581894
Hungary,13503.3910315
India,1483.98829762
Indonesia,3398.93995976
Ireland,50347.0715835
Israel,35028.9296046
Italy,35364.0880524
Japan,38715.6685292
Lithuania,15703.044817
Malaysia,10286.7277564
Mexico,10420.1444556
Netherlands,50553.8115264
New Zealand,40817.2231986
Norway,99418.1536074
Pakistan,1231.99473896
Peru,6493.96507447
Philippines,2700.02083809
Poland,13661.159601
Portugal,21693.0711968
Russia,14332.1941217
Saudi Arabia,23742.9015577
Singapore,54460.6946984
South Africa,6492.35213511
South Korea,25872.600349
Spain,29951.8362432
Sri Lanka,3300.75151039
Sweden,59529.6775519
Switzerland,83463.2245494
Taiwan,20234.791889
Thailand,5970.31030815
Turkey,10722.8569938
UAE,42006.8915109
Ukraine,4128.94216223
United States,52385.2517401
Uruguay,16363.1022327
Venezuela,14314.1737427
Vietnam,1889.12156949
